order_week,revenue
2002-12-30,10.5
2008-12-29,195.98000000000002
2023-12-25,1165078.9799999867
2024-01-01,23882729.169998504
2024-01-08,24642118.989998665
2024-01-15,24135333.839998644
2024-01-22,24869798.989998616
2024-01-29,9698695.279999424
